client:789 [vite] connecting...
client:912 [vite] connected.
polydraw.ts:46 constructor
polydraw.ts:249 addTo
polydraw.ts:65 onAdd
polydraw.ts:1321 setupKeyboardHandlers
polygon-mutation-manager.ts:53 PolygonMutationManager constructor
polygon-mutation-manager.ts:64 PolygonMutationManager setFeatureGroups
polygon-mutation-manager.ts:72 PolygonMutationManager on
polydraw.ts:315 setDrawMode
polydraw.ts:410 emitDrawModeChanged
polydraw.ts:420 updateMarkerDraggableState
polydraw.ts:462 stopDraw
polydraw.ts:479 resetTracker
polydraw.ts:484 drawStartedEvents
polydraw.ts:1261 events
polydraw.ts:472 setLeafletMapEvents
polydraw.ts:1284 mouseDown
polydraw.ts:1316 startDraw
polydraw.ts:484 drawStartedEvents
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
polydraw.ts:507 mouseMove
